---------------------------------------------------------------------------------------------------------------------------
| eventName                                                  | playerName                         | rank | time           |
| "Carpi - Novi Ligure - 221km"                              | "Paolo Simion"                     | 20   | "05:17:26.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Cesare Benedetti"                 | 1    | "03:41:49.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Damiano Caruso"                   | 2    | "03:41:49.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Edward Dunbar"                    | 3    | "03:41:49.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Gianlucia Brambilla"              | 4    | "03:41:51.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Eros Capecchi"                    | 5    | "03:41:55.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Jan Polanc"                       | 6    | "03:42:14.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Matteo Montaguti"                 | 7    | "03:42:23.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Thomas De Gendt"                  | 8    | "03:44:25.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Francesco Gavazzi"                | 9    | "03:44:25.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Manuel Senni"                     | 10   | "03:44:27.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Josef Cerny"                      | 11   | "03:44:31.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Tobias Ludvigsson"                | 12   | "03:44:41.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Roger Kluge"                      | 13   | "03:44:54.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Luca Covili"                      | 14   | "03:44:54.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Enrico Gasparotto"                | 15   | "03:45:12.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Jan Bakelants"                    | 16   | "03:48:12.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Danilo Wyss"                      | 17   | "03:48:22.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Miguel Angel Lopez"               | 18   | "03:49:24.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Mikel Landa Meana"                | 19   | "03:49:24.000" |
| "Cuneo - Pinerolo - 156km"                                 | "Conor Dunne"                      | 20   | "03:49:25.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Ilnur Zakarin"                    | 1    | "05:34:40.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Mikel Nieve"                      | 2    | "05:35:15.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Mikel Landa Meana"                | 3    | "05:36:00.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Richard Carapaz"                  | 4    | "05:36:18.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Bauke Mollema"                    | 5    | "05:36:25.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Rafal Majka"                      | 6    | "05:36:47.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Primoz Roglic"                    | 7    | "05:37:37.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Vincenzo Nibali"                  | 8    | "05:37:37.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Pavel Sivakov"                    | 9    | "05:38:14.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Davide Formolo"                   | 10   | "05:38:30.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Miguel Angel Lopez"               | 11   | "05:38:59.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Tanel Kangert"                    | 12   | "05:39:03.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Joseph Dombrowski"                | 13   | "05:39:05.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Valentin Madouas"                 | 14   | "05:39:17.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Jan Polanc"                       | 15   | "05:39:19.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Giulio Ciccone"                   | 16   | "05:39:34.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Simon Yates"                      | 17   | "05:39:40.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Domenico Pozzovivo"               | 18   | "05:41:20.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Fausto Masnada"                   | 19   | "05:42:39.000" |
| "Pinerolo - Ceresole Reale (Lago Serru) - 196km"           | "Tony Gallopin"                    | 20   | "05:44:00.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Richard Carapaz"                  | 1    | "04:02:23.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Simon Yates"                      | 2    | "04:03:55.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Vincenzo Nibali"                  | 3    | "04:04:17.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Rafal Majka"                      | 4    | "04:04:17.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Mikel Landa Meana"                | 5    | "04:04:17.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Miguel Angel Lopez"               | 6    | "04:04:17.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Pavel Sivakov"                    | 7    | "04:04:17.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Primoz Roglic"                    | 8    | "04:04:17.000" |
